sample_id,node_id,target_start,horizon,observed_hours,stored_y_true,recomputed_window_mean,absolute_difference,match_tolerance_1e-5
4665280,N045,2026-02-26 13:00:00,3,3,60.97222137451172,60.97222222222222,8.477105026827303e-07,True
4770480,N046,2026-02-21 11:00:00,3,3,88.0,88.0,0.0,True
4876580,N047,2026-02-25 18:00:00,3,3,67.05555725097656,67.05555555555556,1.6954210053654606e-06,True
4981648,N048,2026-02-19 07:00:00,3,3,65.16666412353516,65.16666666666667,2.5431315151536182e-06,True
4981724,N048,2026-02-20 02:00:00,3,3,78.0,78.0,0.0,True
4982284,N048,2026-02-25 22:00:00,3,3,76.66666412353516,76.66666666666667,2.5431315151536182e-06,True
4982476,N048,2026-02-27 22:00:00,3,3,74.55555725097656,74.55555555555556,1.6954210053654606e-06,True
4982480,N048,2026-02-27 23:00:00,3,3,78.0,78.0,0.0,True
5088044,N049,2026-02-26 16:00:00,3,3,33.97222137451172,33.97222222222222,8.477105026827303e-07,True
5193120,N050,2026-02-20 07:00:00,3,3,28.16666603088379,28.166666666666668,6.357828787884046e-07,True
5298720,N051,2026-02-19 09:00:00,3,3,66.33333587646484,66.33333333333333,2.5431315151536182e-06,True
5299096,N051,2026-02-23 07:00:00,3,3,66.11111450195312,66.11111111111111,3.390842010730921e-06,True
22296,N001,2026-02-23 11:00:00,6,5,90.0,90.0,0.0,True
22608,N001,2026-02-26 17:00:00,6,6,90.0,90.0,0.0,True
127608,N002,2026-02-19 13:00:00,6,6,94.0,94.0,0.0,True
127676,N002,2026-02-20 06:00:00,6,6,94.0,94.0,0.0,True
127808,N002,2026-02-21 15:00:00,6,6,94.0,94.0,0.0,True
127920,N002,2026-02-22 19:00:00,6,6,92.41666412353516,92.41666666666667,2.5431315151536182e-06,True
339776,N004,2026-02-27 19:00:00,6,6,90.0,90.0,0.0,True
339848,N004,2026-02-28 13:00:00,6,6,89.45833587646484,89.45833333333333,2.5431315151536182e-06,True
445516,N005,2026-02-28 08:00:00,6,6,42.80555725097656,42.805555555555564,1.6954209982600332e-06,True
550668,N006,2026-02-22 18:00:00,6,6,90.0,90.0,0.0,True
656008,N007,2026-02-19 03:00:00,6,5,90.0,90.0,0.0,True
656072,N007,2026-02-19 19:00:00,6,6,88.33333587646484,88.33333333333333,2.5431315151536182e-06,True
656076,N007,2026-02-19 20:00:00,6,6,88.33333587646484,88.33333333333333,2.5431315151536182e-06,True
761724,N008,2026-02-19 10:00:00,6,6,90.0,90.0,0.0,True
761992,N008,2026-02-22 05:00:00,6,6,90.0,90.0,0.0,True
762432,N008,2026-02-26 19:00:00,6,6,88.61111450195312,88.61111111111113,3.3908419965200665e-06,True
973060,N010,2026-02-19 00:00:00,6,6,94.0,94.0,0.0,True
1079000,N011,2026-02-21 15:00:00,6,6,94.0,94.0,0.0,True
1079044,N011,2026-02-22 02:00:00,6,6,94.0,94.0,0.0,True
1079132,N011,2026-02-23 00:00:00,6,6,94.0,94.0,0.0,True
1079160,N011,2026-02-23 07:00:00,6,6,94.0,94.0,0.0,True
1079444,N011,2026-02-26 06:00:00,6,6,94.0,94.0,0.0,True
1290252,N013,2026-02-20 08:00:00,6,6,94.0,94.0,0.0,True
1396100,N014,2026-02-22 00:00:00,6,6,94.0,94.0,0.0,True
1396496,N014,2026-02-26 03:00:00,6,6,94.0,94.0,0.0,True
1396556,N014,2026-02-26 18:00:00,6,6,92.88888549804688,92.88888888888887,3.3908419965200665e-06,True
1501640,N015,2026-02-20 11:00:00,6,5,94.0,94.0,0.0,True
1501776,N015,2026-02-21 21:00:00,6,5,94.0,94.0,0.0,True
1607232,N016,2026-02-19 11:00:00,6,6,96.33333587646484,96.33333333333333,2.5431315151536182e-06,True
1607952,N016,2026-02-26 23:00:00,6,6,95.625,95.625,0.0,True
1607956,N016,2026-02-27 00:00:00,6,6,97.75,97.75,0.0,True
1712992,N017,2026-02-20 05:00:00,6,5,99.0,99.0,0.0,True
1713576,N017,2026-02-26 07:00:00,6,6,99.0,99.0,0.0,True
1924292,N019,2026-02-19 10:00:00,6,6,98.0,98.0,0.0,True
1924476,N019,2026-02-21 08:00:00,6,6,98.0,98.0,0.0,True
1924620,N019,2026-02-22 20:00:00,6,6,96.25,96.25,0.0,True
1924868,N019,2026-02-25 10:00:00,6,6,98.0,98.0,0.0,True
1925008,N019,2026-02-26 21:00:00,6,6,98.0,98.0,0.0,True
2135708,N021,2026-02-19 20:00:00,6,6,98.58333587646484,98.58333333333333,2.5431315151536182e-06,True
2135776,N021,2026-02-20 13:00:00,6,6,100.0,100.0,0.0,True
2135960,N021,2026-02-22 11:00:00,6,6,96.33333587646484,96.33333333333333,2.5431315151536182e-06,True
2136276,N021,2026-02-25 18:00:00,6,6,99.25,99.25,0.0,True
2241432,N022,2026-02-20 05:00:00,6,6,98.0,98.0,0.0,True
2241696,N022,2026-02-22 23:00:00,6,6,98.0,98.0,0.0,True
2242000,N022,2026-02-26 03:00:00,6,6,98.0,98.0,0.0,True
2347168,N023,2026-02-20 17:00:00,6,6,100.0,100.0,0.0,True
2453020,N024,2026-02-22 10:00:00,6,6,95.08333587646484,95.08333333333333,2.5431315151536182e-06,True
2453072,N024,2026-02-22 23:00:00,6,6,100.0,100.0,0.0,True
2559060,N025,2026-02-26 02:00:00,6,6,98.0,98.0,0.0,True
2559152,N025,2026-02-27 01:00:00,6,6,98.0,98.0,0.0,True
2559304,N025,2026-02-28 15:00:00,6,6,96.66666412353516,96.66666666666667,2.5431315151536182e-06,True
2664092,N026,2026-02-19 06:00:00,6,6,100.0,100.0,0.0,True
2664276,N026,2026-02-21 04:00:00,6,6,100.0,100.0,0.0,True
2769748,N027,2026-02-18 22:00:00,6,6,100.0,100.0,0.0,True
2770164,N027,2026-02-23 06:00:00,6,6,100.0,100.0,0.0,True
2875440,N028,2026-02-18 23:00:00,6,6,100.0,100.0,0.0,True
2875476,N028,2026-02-19 08:00:00,6,6,100.0,100.0,0.0,True
2876240,N028,2026-02-27 07:00:00,6,5,100.0,100.0,0.0,True
2876340,N028,2026-02-28 08:00:00,6,6,100.0,100.0,0.0,True
2981164,N029,2026-02-19 08:00:00,6,5,98.0,98.0,0.0,True
2981248,N029,2026-02-20 05:00:00,6,6,98.0,98.0,0.0,True
2982072,N029,2026-02-28 19:00:00,6,5,96.9000015258789,96.9,1.5258789005656581e-06,True
3087036,N030,2026-02-21 06:00:00,6,6,98.0,98.0,0.0,True
3087624,N030,2026-02-27 09:00:00,6,6,98.0,98.0,0.0,True
3193168,N031,2026-02-25 21:00:00,6,6,100.0,100.0,0.0,True
3298732,N032,2026-02-24 14:00:00,6,6,100.0,100.0,0.0,True
3404244,N033,2026-02-22 18:00:00,6,6,100.0,100.0,0.0,True
3404608,N033,2026-02-26 13:00:00,6,6,100.0,100.0,0.0,True
3404756,N033,2026-02-28 02:00:00,6,6,99.0,99.0,0.0,True
3509592,N034,2026-02-19 05:00:00,6,6,100.0,100.0,0.0,True
3509836,N034,2026-02-21 18:00:00,6,6,100.0,100.0,0.0,True
3615812,N035,2026-02-24 18:00:00,6,6,98.25,98.25,0.0,True
3721308,N036,2026-02-22 18:00:00,6,6,100.0,100.0,0.0,True
3721400,N036,2026-02-23 17:00:00,6,6,100.0,100.0,0.0,True
3827120,N037,2026-02-24 01:00:00,6,6,100.0,100.0,0.0,True
3827176,N037,2026-02-24 15:00:00,6,6,100.0,100.0,0.0,True
3932984,N038,2026-02-25 21:00:00,6,6,100.0,100.0,0.0,True
4038080,N039,2026-02-19 17:00:00,6,6,100.0,100.0,0.0,True
4143704,N040,2026-02-19 01:00:00,6,6,100.0,100.0,0.0,True
4143760,N040,2026-02-19 15:00:00,6,6,100.0,100.0,0.0,True
4143872,N040,2026-02-20 19:00:00,6,6,100.0,100.0,0.0,True
4144240,N040,2026-02-24 15:00:00,6,6,100.0,100.0,0.0,True
4249444,N041,2026-02-19 14:00:00,6,6,87.41666412353516,87.41666666666667,2.5431315151536182e-06,True
4355780,N042,2026-02-26 08:00:00,6,6,64.97222137451172,64.97222222222221,8.477104955773029e-07,True
4461364,N043,2026-02-25 06:00:00,6,6,72.125,72.125,0.0,True
4461652,N043,2026-02-28 06:00:00,6,6,68.81944274902344,68.81944444444444,1.6954210053654606e-06,True
