prediction_file,model,horizon,seed,original_N,boundary_excluded_N,canonical_complete_hour_N,original_MAE,canonical_complete_hour_MAE,MAE_change_after_boundary_exclusion,original_RMSE,canonical_complete_hour_RMSE,original_sMAPE,canonical_complete_hour_sMAPE,original_R2,canonical_complete_hour_R2,original_Bias,canonical_complete_hour_Bias,canonical_sample_boundary_match
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed2024.parquet,Persistence,6,2024,12166,51,12115,1.6025600083736964,1.5999473175036234,-0.0026126908700729867,3.6998692720239874,3.6967642401284997,0.02358369713230953,0.023534819378985303,0.9456267628970438,0.9457500984471828,-0.01961755619303051,-0.014151921982712062,False
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed2025.parquet,Persistence,6,2025,12166,51,12115,1.6025600083736964,1.5999473175036234,-0.0026126908700729867,3.6998692720239874,3.6967642401284997,0.02358369713230953,0.023534819378985303,0.9456267628970438,0.9457500984471828,-0.01961755619303051,-0.014151921982712062,False
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed2026.parquet,Persistence,6,2026,12166,51,12115,1.6025600083736964,1.5999473175036234,-0.0026126908700729867,3.6998692720239874,3.6967642401284997,0.02358369713230953,0.023534819378985303,0.9456267628970438,0.9457500984471828,-0.01961755619303051,-0.014151921982712062,False
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed3407.parquet,Persistence,6,3407,12166,51,12115,1.6025600083736964,1.5999473175036234,-0.0026126908700729867,3.6998692720239874,3.6967642401284997,0.02358369713230953,0.023534819378985303,0.9456267628970438,0.9457500984471828,-0.01961755619303051,-0.014151921982712062,False
D:\2026_PD\outputs\locked\phase13_full\predictions\Persistence_h6_seed42.parquet,Persistence,6,42,12166,51,12115,1.6025600083736964,1.5999473175036234,-0.0026126908700729867,3.6998692720239874,3.6967642401284997,0.02358369713230953,0.023534819378985303,0.9456267628970438,0.9457500984471828,-0.01961755619303051,-0.014151921982712062,False
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed2024.parquet,SeasonalHA,1,2024,12265,0,12265,1.1484393823112802,1.1484393823112802,0.0,2.689582231267182,2.689582231267182,0.015756305605716916,0.015756305605716916,0.9717865023119033,0.9717865023119033,-0.18103548556116714,-0.18103548556116714,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed2025.parquet,SeasonalHA,1,2025,12265,0,12265,1.1484393823112802,1.1484393823112802,0.0,2.689582231267182,2.689582231267182,0.015756305605716916,0.015756305605716916,0.9717865023119033,0.9717865023119033,-0.18103548556116714,-0.18103548556116714,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed2026.parquet,SeasonalHA,1,2026,12265,0,12265,1.1484393823112802,1.1484393823112802,0.0,2.689582231267182,2.689582231267182,0.015756305605716916,0.015756305605716916,0.9717865023119033,0.9717865023119033,-0.18103548556116714,-0.18103548556116714,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed3407.parquet,SeasonalHA,1,3407,12265,0,12265,1.1484393823112802,1.1484393823112802,0.0,2.689582231267182,2.689582231267182,0.015756305605716916,0.015756305605716916,0.9717865023119033,0.9717865023119033,-0.18103548556116714,-0.18103548556116714,True
D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed42.parquet,SeasonalHA,1,42,12265,0,12265,1.1484393823112802,1.1484393823112802,0.0,2.689582231267182,2.689582231267182,0.015756305605716916,0.015756305605716916,0.9717865023119033,0.9717865023119033,-0.18103548556116714,-0.18103548556116714,True
