model,fold,horizon,calendar_day,spatial_block,n,MAE,RMSE,sMAPE
HA,2,6,2026-01-31,2,200,0.5252441355387376,0.8740106852789221,0.5412943301976786
HA,2,6,2026-01-31,3,208,0.6136635234213288,0.7461985240199165,0.6203396216538355
HA,2,6,2026-01-31,4,193,2.221201015685438,3.5157019045436124,3.006212160561453
HA,2,6,2026-01-31,5,122,6.071892791497903,7.054947998328913,11.872290990174067
HA,2,6,2026-02-01,1,135,0.5180241337528937,0.8704184569610828,0.5783369007571589
HA,2,6,2026-02-01,2,150,0.41468455674913174,0.5288897256092574,0.4256576131028859
HA,2,6,2026-02-01,3,155,0.4569413117439516,0.5098273533028929,0.45924661803985534
HA,2,6,2026-02-01,4,160,2.838091778225369,4.723918237417645,3.9583819665651667
HA,2,6,2026-02-01,5,87,7.3783821446990006,8.240279504276177,14.298030342809962
HA,3,1,2026-02-02,1,223,0.40452246102873346,1.2578845972553971,0.45126601545788697
HA,3,1,2026-02-02,2,218,0.6178483992177046,1.328730749491885,0.6476499577700153
HA,3,1,2026-02-02,3,212,0.4541064208408572,0.49163950018286884,0.45678295583412126
HA,3,1,2026-02-02,4,226,2.2713019559517016,3.679567757224852,3.0223696880770103
HA,3,1,2026-02-02,5,137,6.265117069810556,7.295194588418612,11.723314320236321
HA,3,1,2026-02-03,1,217,0.6976264332479779,2.6408916856623605,0.8212580183138685
HA,3,1,2026-02-03,2,203,0.6413306500915626,1.524739750980764,0.6711655457882074
HA,3,1,2026-02-03,3,206,0.6177883827184782,1.2926057875541517,0.6300322771836593
