model,fold,horizon,forecast_origin,n,MAE,RMSE,sMAPE
XGBoost,2,6,2026-01-31 04:00:00,27,0.2942514866958433,0.555602830484098,0.35761216965828846
XGBoost,2,6,2026-01-31 05:00:00,37,0.3165189221814595,0.5706879591752826,0.3960246855304364
XGBoost,2,6,2026-01-31 06:00:00,35,0.843100183880519,1.464324780413872,1.3297967883478126
XGBoost,2,6,2026-01-31 07:00:00,40,0.9315269279479981,1.629214829536246,1.4974602221660054
XGBoost,2,6,2026-01-31 08:00:00,40,0.8019406551784941,1.3626790664044377,1.3552245443381046
XGBoost,2,6,2026-01-31 09:00:00,40,0.6376884926689991,1.177817673766493,1.1326888523427234
XGBoost,2,6,2026-01-31 10:00:00,44,0.5372478928228823,1.0197721046514001,0.8334594395258912
XGBoost,2,6,2026-01-31 11:00:00,44,0.6073445830682312,0.9371143963039644,0.9396718329772991
XGBoost,2,6,2026-01-31 12:00:00,48,0.5174340177465372,0.8066901487400936,0.8529424257789308
XGBoost,2,6,2026-01-31 13:00:00,47,0.6416432824822459,0.8440621081818455,0.8708644572308591
XGBoost,2,6,2026-01-31 14:00:00,46,0.8016692654522144,1.1426982114799171,1.0585235919041651
XGBoost,2,6,2026-01-31 15:00:00,44,0.8929374277391009,1.3099533556100802,1.0799344540072726
XGBoost,2,6,2026-01-31 16:00:00,42,0.9993821313982509,1.5493599557928304,1.2191867642271006
XGBoost,2,6,2026-01-31 17:00:00,43,0.9357655981098356,1.3230587740756958,1.141321955644052
XGBoost,2,6,2026-01-31 18:00:00,42,0.9452242937037566,1.3380246908640827,1.1278584867130088
XGBoost,2,6,2026-01-31 19:00:00,35,0.8973879811120424,1.2271487065663813,1.0467716473401998
XGBoost,2,6,2026-01-31 20:00:00,45,0.7252822819462537,0.9789002523310786,0.8217067705519887
XGBoost,2,6,2026-01-31 21:00:00,31,0.6549071107998831,0.9779255710054978,0.7563320940173985
XGBoost,2,6,2026-01-31 22:00:00,35,0.21725002066798946,0.33425162002273295,0.23993823306497356
XGBoost,2,6,2026-01-31 23:00:00,37,0.17925433138827326,0.2857557874818691,0.21323645360112428
XGBoost,2,6,2026-02-01 00:00:00,36,0.1397277455271027,0.22421934771425622,0.15474616799933166
XGBoost,2,6,2026-02-01 01:00:00,45,0.18542892832814917,0.3250812081163949,0.24848228179331708
XGBoost,2,6,2026-02-01 02:00:00,43,0.3289743467818859,0.5737079312307573,0.4155121158115705
XGBoost,2,6,2026-02-01 03:00:00,50,0.7082721896701387,1.4357590419665174,1.00199498742955
XGBoost,2,6,2026-02-01 04:00:00,46,1.040122996896937,2.138983698915597,1.526540521053006
XGBoost,2,6,2026-02-01 05:00:00,44,0.9997111850314672,2.0967787576646746,1.5210841560570074
XGBoost,2,6,2026-02-01 06:00:00,34,1.5020871829363265,3.1268633440171567,2.236524633622347
XGBoost,2,6,2026-02-01 07:00:00,35,1.8180594090053017,3.8941435110256832,2.8070617528197905
XGBoost,2,6,2026-02-01 08:00:00,37,1.8594420768119202,3.8121505926685217,3.2423188792334
XGBoost,2,6,2026-02-01 09:00:00,38,1.8233899501332074,3.730572941186299,2.8382888547336442
XGBoost,2,6,2026-02-01 10:00:00,34,1.6694703046013328,3.4448635255373374,2.716382483061121
XGBoost,2,6,2026-02-01 11:00:00,36,1.434405621187186,2.847490298107611,2.356350499826184
XGBoost,2,6,2026-02-01 12:00:00,41,1.4086021526719175,2.6365089099836867,2.5801479998360466
XGBoost,2,6,2026-02-01 13:00:00,36,1.543089584068016,2.6031608790390606,2.7661462858165424
XGBoost,2,6,2026-02-01 14:00:00,37,1.5743278663795635,2.502811945918429,2.753599573940887
XGBoost,2,6,2026-02-01 15:00:00,32,1.4094611220889628,2.1133652377933294,2.504986757628172
XGBoost,2,6,2026-02-01 16:00:00,27,0.9334448637785725,1.422808891740407,1.4555298101691374
XGBoost,2,6,2026-02-01 17:00:00,36,1.1333300837764027,1.709626742923588,1.791256053253518
XGBoost,3,1,2026-02-02 00:00:00,45,0.23417287755895544,0.5676655979473937,0.35436748360534415
XGBoost,3,1,2026-02-02 01:00:00,35,0.1526564461844308,0.2584556958337518,0.19744675731031236
XGBoost,3,1,2026-02-02 02:00:00,35,0.08806991577148438,0.19522959442583834,0.10603277690968922
XGBoost,3,1,2026-02-02 03:00:00,45,0.11379340842918115,0.20291931126360763,0.13633063755795824
XGBoost,3,1,2026-02-02 04:00:00,46,0.5331564917080648,1.4834431849061984,0.890050616943466
XGBoost,3,1,2026-02-02 05:00:00,48,1.8505888250139026,3.8450641989128127,3.0535664742471424
XGBoost,3,1,2026-02-02 06:00:00,46,0.5865155372066775,1.6978941551869442,1.3446635038540322
XGBoost,3,1,2026-02-02 07:00:00,46,0.7378341287806418,1.5925899034600437,1.587778167316808
XGBoost,3,1,2026-02-02 08:00:00,47,0.7872050129775459,2.1897421993356057,1.6199328018060182
XGBoost,3,1,2026-02-02 09:00:00,35,0.2988241649809338,0.7260310656169056,0.4446903069484815
XGBoost,3,1,2026-02-02 10:00:00,35,0.3053893316359747,0.8638934000343788,0.46433119970269043
XGBoost,3,1,2026-02-02 11:00:00,48,0.4287554687923856,0.8978328959681158,0.8246221897849058
XGBoost,3,1,2026-02-02 12:00:00,47,0.6833627579060005,1.3240311808940721,0.9986411842732954
XGBoost,3,1,2026-02-02 13:00:00,44,0.5142319419167257,0.841174538366403,0.6690095388455376
XGBoost,3,1,2026-02-02 14:00:00,48,0.2834140459696453,0.566903877022957,0.5097786172921964
XGBoost,3,1,2026-02-02 15:00:00,35,0.4896899995349702,1.001683048858438,0.6984613134296642
